,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
18,19,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3950000000000.0,164.22,48.1,5.47,9.1,7.87,12.02,238.23,,0.0,0.39,107.9,30.63,8.6,30.0,25.0,-54.7,14.4,61590000.0,57960000.0,2.1,-18.01,81.3,1.7,9.57,6.25,3.3,4.9,5.6,3.5,3.2,0.0,0.0,60.5,3.2,5.2,-12.4,-5.64,18.01,49.33,3.55,46.77,0.83,2.65,3.74,3.87,-7.47,-3.95,12.7,-14.31,8.52,-16.02,62.85,39.73,-3.73,-0.28,1.9,887810.0,13.18,64.21,-4.01,9759655.0,Aug 08/a,74.11,4/5/2017
19,20,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2760000000000.0,12.41,10.59,4.04,10.72,1.98,,,6.59,112.3,2.39,2.1,15.52,7.9,3.07,7.8,-18.4,-19.9,92950000.0,90460000.0,0.1,-76.0,17.5,-7.46,0.55,2.34,15.5,15.5,16.4,,,0.0,0.0,,100.0,89.6,0.64,6.94,2.87,14.04,4.65,8.78,1.16,0.59,1.85,2.04,3.51,2.73,1.99,-1.72,11.27,-5.41,27.34,58.29,1.43,0.76,2.0,213840.0,1.02,29.72,2.2,218647.0,Jul 25/b,32.67,4/15/1988
20,21,ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,43190000000000.0,29.46,16.85,4.75,1.54,2.95,11.68,,3.94,,0.68,6.8,7.41,-11.2,6.2,-7.9,0.5,6.3,2160000000000.0002,2160000000000.0002,,,5.0,12.81,0.14,1.54,,,7.5,1.2,1.0,0.49,0.59,31.0,,,0.7,9.16,6.15,7.51,-6.75,5.37,1.15,0.24,0.65,0.84,4.02,3.02,0.21,-5.45,10.39,-18.08,11.0,60.54,0.5,-0.15,2.7,1920000.0,0.81,20.03,0.35,1563599.0,Jul 25/b,21.81,4/6/2001
21,22,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,107630000000000.0,20.57,7.7,3.5,3.3,,20.59,15.07,5.89,113.2,3.54,4.8,7.5,7.6,5.87,11.8,-5.1,-1.3,1480000000000.0,1480000000000.0,0.1,-1.13,70.8,-1.81,1.33,2.54,8.7,-94.5,21.8,1.0,0.9,,,77.3,19.9,16.3,-7.69,-6.3,-9.77,-19.12,-20.53,-21.12,0.95,2.43,4.0,2.37,-4.68,-6.59,-13.03,-11.05,11.78,-27.45,11.78,42.06,3.03,0.83,2.6,7710000.0,2.87,72.72,3.89,21381518.0,Jul 25/b,86.21,1/2/2013
22,23,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,18000000000000.0,21.3,11.58,3.0,0.1,6.16,6.26,9.34,1.88,44.8,4.0,188.6,7.54,17.8,7.09,13.8,-90.1,5.6,211090000.0,152910000.0,0.2,-38.76,68.7,0.69,5.16,5.34,2.4,31.0,16.4,0.9,0.6,1.49,1.59,2.8,0.6,0.5,0.95,8.86,7.22,15.95,-5.08,14.6,0.95,1.8,2.32,2.09,1.64,6.98,3.55,-2.11,20.85,-10.11,22.92,60.92,-0.66,0.23,2.5,1480000.0,1.06,85.26,-0.43,1565448.0,Aug 01/b,87.87,4/4/1995
23,24,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1850000000000.0,13.69,8.44,1.71,4.04,1.24,2.11,,1.02,13.9,2.86,19.2,17.49,30.1,8.0,26.8,20.6,57.1,47280000.0,46310000.0,1.9,0.14,88.0,3.51,5.37,7.07,1.2,9.4,17.3,,,0.16,0.16,,77.5,29.3,3.81,9.68,14.09,26.26,-27.49,23.74,1.45,0.9,2.21,2.35,4.36,6.79,1.01,0.62,16.76,-28.16,30.76,67.0,0.05,0.59,1.7,351850.0,15.9,39.19,0.64,4545576.0,Jul 23/b,47.0,5/19/1994
24,25,ABDC,Alcentra Capital Corporation,Financial,Asset Management,USA,114690000.0,28.5,10.61,,4.21,0.75,,,8.59,,0.29,-20.8,-1.3,-4.41,,,-44.6,-21.4,13690000.0,,,,,,,0.21,,,,,,,,,,,-1.42,2.37,13.7,30.79,30.39,31.8,,0.14,0.97,1.53,2.17,2.19,19.14,-2.43,9.46,-2.43,52.82,55.8,0.24,-0.36,3.0,37490.0,1.14,8.38,-0.12,42809.0,Aug 05/a,8.0,5/9/2014
25,26,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,233980000.0,,,,93.59,1.94,3.43,,,,-1.36,-81.7,-2.7,-19.1,,8.0,-73.0,,48950000.0,34460000.0,0.3,119.67,64.4,-3.85,20.13,12.63,,,-43.4,3.3,3.3,0.0,0.0,,,,3.46,-16.87,-35.05,-28.01,-69.65,-33.05,1.96,0.34,6.32,6.77,-5.91,-26.79,-40.08,-43.16,8.76,-71.12,8.76,35.62,0.0,0.42,1.9,549280.0,3.66,4.78,0.42,1916807.0,Aug 09/a,23.44,9/19/1980
26,27,ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,73450000000000.0,26.53,19.46,5.71,,4.73,,,5.14,,0.18,15.8,9.1,45.22,4.65,,6.2,8.6,15730000000000.0,4389999999999.9995,0.02,0.0,7.69,,0.57,1.04,,,,,,,,,,,-2.91,6.86,8.6,19.44,2.99,19.13,,0.11,2.14,2.04,1.03,4.15,5.67,-4.01,16.75,-12.34,23.87,52.9,-1.27,0.42,2.9,23900000.0,0.85,4.67,-0.85,20768566.0,Aug 06/b,5.05,3/5/1997
27,28,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1630000000000.0,9.95,9.38,0.59,0.23,3.21,149.41,46.8,,0.0,8.48,18.6,0.41,20.6,16.75,5.2,9.4,3.8,19310000.0,19030000.0,1.1,-29.67,,0.54,11.41,15.42,6.3,35.4,10.5,1.1,0.3,1.73,3.86,16.1,4.5,2.4,3.17,9.65,21.6,30.15,19.12,26.52,1.24,1.97,2.28,2.58,5.43,6.54,18.6,0.3,16.11,0.3,43.92,64.29,0.21,0.26,2.4,140780.0,1.73,84.34,0.48,244751.0,Jul 23/b,84.13,3/21/2002
28,29,ABIL,Ability Inc.,Technology,Communication Equipment,Israel,5800000.0,,,,11.59,1.06,0.59,,,,-3.67,7.0,,,,-38.0,,-94.7,6300000.0,3590000.0,33.19,0.0,6.8,2.15,2.54,0.58,-52.1,473.4,-290.6,1.1,1.1,0.0,0.0,,,,0.11,-41.4,-46.43,-48.02,-88.66,-51.58,0.36,0.1,4.57,9.87,-16.02,-27.24,-57.48,-50.0,5.75,-90.8,5.75,30.2,-0.71,1.82,3.0,157800.0,0.11,0.92,1.1,18334.0,Jul 10/b,1.3,2/5/2014
29,30,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,10030000.0,,,,,0.9,,,,,-8.58,67.7,-61.1,39.8,,,48.6,,1370000.0,1370000.0,0.83,0.0,9.4,11.23,2.1,0.04,-80.9,-92.1,,6.6,6.6,0.0,0.0,,,,13.31,19.02,8.85,45.24,-24.14,21.94,1.75,0.71,10.04,12.49,8.63,-6.95,-13.98,-64.21,46.1,-68.23,54.92,50.95,1.67,1.84,,807190.0,0.35,7.32,3.54,277709.0,Aug 07/a,17.0,8/8/1997
30,31,ABM,ABM Industries Incorporated,Services,Business Services,USA,2660000000000.0,32.39,17.74,2.02,0.41,1.8,49.53,18.88,1.8,54.4,1.24,-20.3,11.08,-0.9,16.0,7.8,16.7,0.9,66500000.0,65780000.0,0.9,-6.21,,-3.16,6.25,12.17,2.3,5.9,5.1,1.5,1.5,0.61,0.64,10.9,2.4,1.3,1.47,9.26,10.04,29.83,34.82,24.57,0.64,0.82,1.8,2.23,2.46,4.82,16.35,-3.23,11.61,-3.23,56.01,62.87,0.7,0.2,2.2,338020.0,2.08,40.0,0.91,697604.0,Jun 05/a,44.0,7/19/1984
31,32,ABMD,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,11540000000000.0,46.42,44.73,1.63,15.01,12.54,23.48,55.45,,0.0,5.61,92.6,29.05,99.7,28.5,33.2,104.2,18.8,44320000.0,44220000.0,1.6,-9.99,89.5,0.32,5.7,3.27,27.9,31.4,23.5,6.4,5.6,0.0,0.0,83.2,29.2,33.7,1.74,-2.21,-8.79,-17.48,-36.56,-19.86,0.31,7.89,2.72,3.03,0.31,-0.69,-18.95,-7.55,14.25,-43.34,14.25,49.4,1.5,0.67,1.3,769490.0,0.62,260.49,2.18,480851.0,Aug 01/b,336.88,7/30/1987
32,33,ABR,"Arbor Realty Trust, Inc.",Financial,REIT - Diversified,USA,1110000000000.0,9.13,8.8,1.14,2.24,1.26,8.91,8.43,8.83,75.8,1.33,42.3,8.33,31.0,8.0,29.8,-36.5,10.8,91550000.0,87380000.0,4.0,0.0,54.9,8.09,11.63,6.43,2.3,13.9,3.5,,,4.12,4.12,67.3,31.6,21.1,-1.22,-3.04,-6.55,18.59,22.12,20.36,0.57,0.23,1.95,1.74,-1.17,-5.99,-0.3,-13.06,3.15,-13.06,27.78,41.1,2.62,0.0,3.0,1580000.0,7.45,12.12,2.62,10599071.0,Aug 09/b,12.75,5/6/2004
33,34,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,147640000000000.0,56.59,23.35,4.86,4.81,4.79,45.28,61.47,1.52,77.9,1.49,34.3,11.86,2.0,11.64,9.2,39.2,2.0,1760000000000.0,1750000000000.0,0.7,-14.55,76.0,-0.58,0.79,2.56,3.8,8.5,6.1,1.6,1.1,0.61,0.62,58.4,11.8,8.5,-1.06,9.91,5.2,19.07,39.03,16.27,1.09,1.17,1.36,1.39,3.0,6.94,13.52,-1.58,16.22,-1.58,39.42,65.06,0.33,0.16,1.9,5400000.0,3.14,84.1,0.49,16436946.0,Jul 17/b,84.33,4/6/1983
34,35,ABTX,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,698140000.0,14.06,11.4,,3.81,1.03,2.56,13.56,,0.0,2.37,57.2,9.14,14.2,,32.8,1.0,76.2,20940000.0,19250000.0,3.0,-12.31,32.9,2.04,1.83,3.87,1.1,8.2,11.9,,,0.36,0.36,,77.4,23.1,1.31,0.06,-1.13,9.38,-22.19,3.0,1.39,0.79,2.68,2.4,1.74,-2.94,-8.76,-11.02,4.68,-28.84,16.65,52.0,1.25,0.67,2.7,90990.0,14.7,33.34,1.93,1111837.0,Jul 26/b,37.25,10/8/2015
35,36,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,Canada,128500000.0,,,,24.71,2.21,1.16,,,,-1.32,35.0,-8.4,-5.7,,-17.4,-29.8,-50.0,61780000.0,35120000.0,40.87,0.0,43.0,-0.31,4.05,2.63,-30.6,-87.5,-105.5,12.7,12.7,0.0,0.0,,,,-5.45,14.29,-41.9,-43.78,-71.31,-45.69,1.97,0.23,11.02,12.53,12.01,-6.37,-50.39,-43.63,46.48,-83.49,46.48,51.24,-9.17,1.33,1.9,540110.0,9.0,2.08,-7.96,4272203.0,Aug 05/a,9.32,7/26/2007
36,37,AC,"Associated Capital Group, Inc.",Financial,Asset Management,USA,794380000.0,,,,34.99,0.95,2.01,8.92,0.53,,-0.56,-944.2,,-34.6,,2.2,208.4,0.0,21240000.0,3400000.0,0.7,,83.5,0.31,6.3,21.76,-1.3,-1.4,-0.2,,,0.0,0.02,,-74.9,-56.0,6.07,-0.72,-5.46,8.41,-3.86,6.16,1.03,1.27,3.97,3.29,2.51,-2.47,-6.15,-13.9,9.52,-20.19,14.76,53.9,5.65,0.51,,9830.0,7.84,37.4,6.19,262383.0,Aug 06/a,,12/27/2007
37,38,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,3850000000000.0,,,,16.18,9.19,9.29,,,,-2.09,-7.7,37.7,-34.3,34.3,187.2,-36.1,28.8,143980000.0,143750000.0,0.3,-2.29,95.2,-3.13,8.45,11.07,-68.1,-79.7,-51.9,6.4,6.3,0.0,0.0,94.5,,,2.81,7.35,-0.45,73.01,68.43,65.31,2.88,1.0,3.49,3.74,4.84,5.84,19.52,-2.55,19.06,-6.77,109.32,58.56,1.25,-0.11,2.3,1100000.0,1.42,26.73,1.14,1560579.0,Jul 31/a,32.55,5/27/2004
38,39,ACAM,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,297020000.0,,,,,75.35,,,,,,,,,,,,,30560000.0,28560000.0,,,,,0.0,0.0,,,,,,,,,,,0.41,,,,,-0.31,,0.08,0.55,,-0.27,-0.27,-0.27,-2.9,0.41,-2.9,0.41,,0.0,-0.31,,9820.0,0.36,9.72,-0.31,3900.0,-,,5/9/2019
39,40,ACAMU,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,678020000.0,,,,,1.28,308.19,,,,,,,,,,,,67870000.0,61120000.0,,,92.7,81.89,,,,,,13.2,13.2,0.0,0.0,,,,0.1,0.16,,,,-0.1,,0.01,0.02,0.09,-0.15,-0.1,-0.09,-0.6,0.4,-0.6,0.4,47.32,0.0,-0.1,,45560.0,0.57,9.99,-0.1,25700.0,-,,-
40,41,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,,36.2,,,,2.27,,,,,0.22,,,,,,,304.6,,979630000.0,3.04,,12.15,,8.39,5.48,,,,,,,,,,,7.12,-2.25,-13.69,53.33,20.78,57.66,,0.3,3.43,4.17,2.94,-5.17,1.46,-16.54,11.55,-37.56,100.52,49.44,-0.76,0.64,,15000000.0,0.47,7.82,-0.13,7272601.0,Aug 13/a,,1/3/2000
41,42,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,401810000.0,15.04,13.25,1.27,4.23,1.33,2.82,4.77,,0.0,1.14,117.4,13.33,23.1,11.8,23.8,28.7,23.0,23470000.0,23360000.0,2.7,,88.3,-2.2,2.34,5.11,1.0,9.0,18.2,,,0.16,0.16,,77.0,30.4,2.76,1.24,-3.98,6.47,-14.19,4.58,0.9,0.39,2.48,2.31,1.38,-0.99,-1.88,-7.16,6.47,-15.87,18.53,53.7,2.64,0.06,2.4,106980.0,6.47,17.12,2.7,640739.0,Jul 25/a,20.0,11/2/2015
42,43,ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,6310000000000.0,53.36,67.78,3.03,6.99,1.84,136.6,68.01,4.07,211.3,0.87,48.8,15.23,14.6,17.62,6.0,13.8,9.8,136720000.0,136390000.0,0.7,0.0,99.6,-1.67,1.46,2.88,1.7,3.4,2.7,,,0.9,0.9,53.4,20.7,13.2,-1.33,0.65,-2.98,12.17,8.43,11.52,0.38,0.77,1.73,1.58,-1.28,-1.19,4.28,-4.07,2.44,-4.81,20.21,44.75,0.39,0.0,2.5,690340.0,1.7,46.16,0.39,1155508.0,Jul 22/a,49.75,8/16/2004
43,44,ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,785110000.0,8.43,6.05,0.84,0.41,1.05,7.78,47.01,3.05,26.1,0.93,7.4,11.49,9.0,10.0,1.9,-106.2,-2.9,99760000.0,99430000.0,2.5,0.0,92.8,-0.55,2.22,4.06,3.4,12.5,8.3,1.7,0.9,1.24,1.32,32.5,10.0,5.0,3.01,4.65,-8.06,20.34,-42.55,16.08,1.85,0.23,2.92,2.74,2.96,-2.57,-9.88,-15.01,8.55,-46.19,29.65,51.53,2.21,0.13,,542820.0,1.47,7.87,2.34,789684.0,Aug 01/b,12.8,8/17/2005
44,45,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,34790000.0,,,,,1.04,1.09,,,,-2.71,-31.4,34.9,52.6,,,-48.7,,8920000.0,7480000.0,0.1,,61.0,2.16,4.11,1.3,-61.7,-67.4,,10.9,10.9,0.0,0.0,,,,-78.74,-77.68,-83.95,-78.95,-80.37,-80.62,1.6,1.92,20.02,10.3,-74.56,-78.31,-82.72,-84.9,18.9,-88.56,18.9,21.88,13.04,0.0,2.3,235990.0,8.19,3.9,13.04,1717645.0,May 13,9.0,4/14/2004
